CASE TYPE,SOLUTION STRENGTH,STRENGTH (%),CH2O INDEX,SPECIAL TREATMENT,SUGGESTED ACCESSORY/SUPPLIMENTAL,HUMECTANT,INSTRUCTIONS,CORE_CATEGORY,RISK_MODEL
Arthritic Body,Moderate,1.8,>18<20,Accommodate rigidity; select accessible vessels,,No,Avoid femoral; inject via carotid or popliteal. Use intermittent drainage. Aspirate cavities. Position with blocks/towels and leave limbs as-is.,Anatomical Abnormalities,
Goiter,Moderate,1.8,>18<20,Navigate displaced neck vessels,,No,Avoid carotid; inject via femoral with closed drainage. Aspirate neck cautiously. Make careful incisions.,Anatomical Abnormalities,
Infant/Child Embalming,Mild,1.25,>10<18,Preserve delicate tissues; minimal fluid use,Hypotonic fluid,Yes,Use restricted cervical via ascending aorta and low pressure and low volume. Inject cavity fluid via small trocar and pack nostrils with cotton. Apply light massage cream and avoid over-firming tissues.,Anatomical Abnormalities,
Mandibular Atrophy,Moderate,1.8,>18<20,Secure mouth closure; fill sunken areas,,No,Use muscular/mandibular suture and avoid needle injector. Fill cheeks with cotton/putty. Inject via carotid.,Anatomical Abnormalities,
Extreme Trauma Reconstruction,Strong,2.5,>26<30,Restore appearance,Restorative wax and adhesives,No,Inject normally then reconstruct features,Cosmetic / Restorative Issues,
Facial Distension,Moderate,1.8,>18<20,Control head injection; avoid swelling,,No,Use restricted cervical with low head pressure. Drain from jugular intermittently. Channel neck and inject cavity fluid hypodermically.,Cosmetic / Restorative Issues,
Facial Tissue Atrophy,Moderate,1.8,>18<20,Restore facial contours; ensure preservation,,No,Fill sunken cheeks with cotton/putty post-closure. Inject via carotid with intermittent drainage. Apply cosmetics.,Cosmetic / Restorative Issues,
Skin Conditions,Moderate,1.8,>18<20,Preserve fragile tissue,Surface preservative gel,Yes,Apply topical treatment after arterial injection,Cosmetic / Restorative Issues,
Advanced Decomposition,Very strong,3,>30<40,Minimize odor; slow tissue breakdown,Concentrated cavity fluid,No,Inject carotid with strong fluid and no drainage. Aspirate cavities and use multiple cavity fluid bottles. Wrap in sheets with embalming powder and seal in double pouch.,Decomposition Conditions,Bacterial load (infection or decomposition)
Decomposed Autopsy Case,Very strong,3.0,>30<36,Slow decomposition,High index cavity fluid,No,Use strong arterial injection and cavity treatment,Decomposition Conditions,Bacterial load (infection or decomposition)
